x,y,z
82.96055094755192,486.0287805744297,a
98.05131822543413,455.3346535954902,a
100.59612710709271,463.1008330078606,a
95.91143445731828,500.7311761688873,a
175.11655094951558,555.5431507833257,a
170.24126667024098,460.28623170793406,a
173.5631752859903,494.05139740902507,a
160.98682970442016,471.2644885793455,a
192.65735146251313,477.44435379623087,a
193.15694726442143,482.4975603981738,a
168.2485061823715,495.8755011369082,a
207.42696023102783,525.2270368533215,a
253.5792729449814,443.1604507894762,a
274.14556283300163,483.4357304774968,a
225.1706288262551,444.09651428535966,a
311.2526488286596,476.6908095108276,a
294.18768316796945,513.9932091669315,a
286.9960326780686,464.12902863689015,a
292.5250469528538,477.17459645963453,a
359.5174546248533,544.8922040546471,a
397.46232875548236,501.42953228665226,a
427.92025161748256,459.7724560351801,a
412.71598565104995,470.54597699689174,a
432.8818572641822,496.591128998527,a
523.557990943439,473.4357344184849,a
503.6422870064534,482.08004436225366,a
526.7642566661675,425.2585902975826,a
565.8272964491766,423.3205564715821,a
590.91212374881,450.9136400375777,a
643.9705537191202,453.20532577126596,a
684.7480133023088,458.53753737207995,a
650.5848938388746,467.6845030256383,a
700.0195234974906,461.4389025530133,a
720.255841593099,480.00229168996236,a
627.8581240896649,479.8278804105465,a
611.4000471082161,434.08040498195135,a
622.844197550416,497.2425892590996,a
618.235366621522,468.56356429631927,a
578.7181743781863,416.78757534847557,a
555.7116175167433,463.8944323465251,a
554.919698314286,447.64510158523274,a
534.0433767714745,455.55244723861387,a
522.6991745318737,433.1677954910741,a
473.87283046500124,527.214098194017,a
392.7587290636144,412.9600509905509,a
422.2100585761025,452.5827833973703,a
404.20734127786324,501.43469176470245,a
369.59076940960074,395.92452483794415,a
285.0233358961759,439.19365542641714,a
198.53296738497792,475.37853361896686,a
160.25144659284956,431.8292197281864,a
101.49374374822764,481.73935424580327,a
64.88517324883067,494.9521500857215,a
26.580839755846497,460.28266958198384,a
379.21361471996494,457.74971253014763,a
341.4604836277076,389.6924036768596,a
336.73599625744856,403.6037825880595,a
342.4696867876079,400.74895612777937,a
432.84152458750646,388.22673489297233,a
423.2360766717496,371.1859066195002,a
464.4414700587129,372.4986037749737,a
561.1850115169823,394.14716811191875,a
510.79291666954623,334.16635438088633,a
532.7404691670922,334.12237295165244,a
549.6422249943389,379.59072601834816,a
548.6088088772772,307.86064163598627,a
541.7767182955963,379.65166929480665,a
610.2495971197001,355.487136564242,a
572.1586641085312,332.653127933624,a
573.6328226053862,285.44610429742124,a
568.2583390027136,339.3217793842853,a
598.640660171897,290.48453755741025,a
605.4359526141974,375.668246169301,a
594.0651713466161,347.69509139673363,a
593.5114305611658,330.2133767129368,a
